"Date","VOC, ppm","AQS","Temperature, °C","Humidity, %","Pressure, mbar","PM1, ug/m3","PM2.5, ug/m3","PM10, ug/m3","Latitude","Longitude"
"2025-04-10 10:20:00","1.406","54","16","61.0","986.99","20.0","23.0","24.0","",""
"2025-04-10 10:19:00","1.448","53","16","61.0","986.97","20.0","23.0","24.0","",""
"2025-04-10 10:18:00","1.381","54","16","60.0","986.96","20.0","23.0","24.0","",""
"2025-04-10 10:17:00","1.365","55","16","60.0","986.94","20.0","23.0","24.0","",""
"2025-04-10 10:16:00","1.298","56","16","60.0","986.94","20.0","23.0","24.0","",""
"2025-04-10 10:15:00","1.262","56","16","60.0","986.91","20.0","23.0","24.0","",""
"2025-04-10 10:14:00","1.257","56","16","60.0","987.03","20.0","23.0","24.0","",""
"2025-04-10 10:13:00","1.257","56","15","64.0","986.96","20.0","23.0","24.0","",""
"2025-04-10 10:12:00","1.566","51","15","63.0","986.85","20.0","23.0","24.0","",""
"2025-04-10 10:11:00","1.543","51","16","60.0","986.81","22.0","25.0","27.0","",""
"2025-04-10 10:10:00","1.561","51","15","63.0","986.84","22.0","25.0","27.0","",""
"2025-04-10 10:09:00","1.407","54","16","60.0","986.83","22.0","25.0","27.0","",""
"2025-04-10 10:08:00","1.37","54","16","60.0","986.79","22.0","25.0","27.0","",""
"2025-04-10 10:07:00","1.436","53","16","60.0","986.78","22.0","25.0","27.0","",""
"2025-04-10 10:06:00","1.427","53","16","60.0","986.77","22.0","25.0","27.0","",""
"2025-04-10 10:05:00","1.428","53","16","60.0","986.73","22.0","25.0","27.0","",""
"2025-04-10 10:04:00","1.385","54","16","60.0","986.76","22.0","25.0","27.0","",""
"2025-04-10 10:03:00","1.384","54","16","60.0","986.70","22.0","25.0","27.0","",""
"2025-04-10 10:02:00","1.389","54","16","60.0","986.74","22.0","25.0","26.0","",""
"2025-04-10 10:01:00","1.376","54","16","60.0","986.68","22.0","25.0","27.0","",""
"2025-04-10 10:00:00","1.227","57","16","60.0","986.71","22.0","25.0","27.0","",""
"2025-04-10 09:59:00","1.202","57","16","60.0","986.67","22.0","25.0","27.0","",""
"2025-04-10 09:58:00","1.16","58","16","60.0","986.71","22.0","25.0","27.0","",""
"2025-04-10 09:57:00","1.244","57","15","63.0","986.70","22.0","25.0","27.0","",""
"2025-04-10 09:56:00","1.452","53","15","63.0","986.68","22.0","25.0","27.0","",""
"2025-04-10 09:55:00","1.495","52","16","59.0","986.67","21.0","24.0","25.0","",""
"2025-04-10 09:54:00","1.656","49","16","60.0","986.66","21.0","24.0","25.0","",""
"2025-04-10 09:53:00","1.704","49","16","60.0","986.67","21.0","24.0","25.0","",""
