"Date","VOC, ppm","AQS","Temperature, °C","Humidity, %","Pressure, mbar","PM1, ug/m3","PM2.5, ug/m3","PM10, ug/m3","Latitude","Longitude"
"2025-03-17 12:03:00","0.01","97","12.4","46.0","1012.40","1.3","2.5","3.5","43.5783642","-5.9501916"
"2025-03-17 12:02:00","0.01","97","12.4","46.0","1012.40","1.0","2.0","3.1","43.5783686","-5.9501553"
"2025-03-17 12:01:00","0.01","98","12.4","46.0","1012.40","1.0","2.0","3.0","43.5783615","-5.9501468"
"2025-03-17 12:00:00","0.063","96","12.3","47.0","1012.50","1.0","2.0","3.0","43.5783542","-5.9501334"
"2025-03-17 11:59:00","0.164","90","11.9","63.0","1012.80","1.1","2.7","3.4","43.578349","-5.9501365"
"2025-03-17 11:58:00","0.171","89","11.5","59.0","1012.60","1.9","3.3","4.4","43.5783575","-5.9501411"
"2025-03-17 11:57:00","0.221","86","11","61.0","1012.86","3.0","5.0","6.0","",""
"2025-03-13 11:59:00","0.226","86","21.1","37.0","1000.80","","","","43.5783658","-5.9501427"
"2025-03-13 11:58:00","0.276","83","21.5","35.0","1000.80","","","","43.5783731","-5.9501283"
"2025-03-13 11:57:00","0.329","80","21.7","43.0","1000.80","","","","43.5783571","-5.950147"
"2025-03-13 11:56:00","0.308","81","21.7","41.0","1001.20","","","","43.5783216","-5.9502311"
"2025-03-13 11:55:00","0.264","84","21.5","41.0","1001.20","","","","43.5783216","-5.9502668"
"2025-03-13 11:54:00","0.325","80","21.6","43.0","1001.10","9.2","12.1","14.1","43.5783475","-5.9503618"
"2025-03-13 11:53:00","0.528","69","21.7","45.0","1001.20","","","","43.5783449","-5.9503563"
"2025-03-13 11:52:00","0.449","73","21.7","46.0","1001.20","","","","43.5783419","-5.9503594"
"2025-03-13 11:51:00","0.44","73","21.5","47.0","1001.20","","","","43.5783301","-5.9504132"
"2025-03-13 11:50:00","0.385","75","21.2","51.0","1001.20","","","","43.5783301","-5.9504132"
"2025-03-13 11:49:00","0.367","75","20.3","57.0","1001.30","","","","43.5783301","-5.9504132"
"2025-03-13 11:48:00","0.336","75","19.4","56.0","1001.30","","","","43.5783301","-5.9504132"
"2025-03-13 11:47:00","0.337","75","18.9","50.0","1001.40","","","","43.5783301","-5.9504132"
"2025-03-13 11:46:00","0.334","75","18.7","50.0","1001.40","","","","43.5783301","-5.9504132"
