"Date","VOC, ppm","AQS","Temperature, °C","Humidity, %","Pressure, mbar","PM1, ug/m3","PM2.5, ug/m3","PM10, ug/m3","Latitude","Longitude"
"2025-05-12 23:59:00","0.366","78","12","74.0","1007.65","8.0","9.0","10.0","",""
"2025-05-12 23:58:00","0.368","77","12","74.0","1007.63","8.0","9.0","10.0","",""
"2025-05-12 23:57:00","0.37","77","12","74.0","1007.63","8.0","9.0","10.0","",""
"2025-05-12 23:56:00","0.372","77","12","74.0","1007.62","8.0","9.0","10.0","",""
"2025-05-12 23:55:00","0.374","77","12","74.0","1007.63","8.0","9.0","10.0","",""
"2025-05-12 23:54:00","0.376","77","11","75.0","1007.63","8.0","9.0","10.0","",""
"2025-05-12 23:53:00","0.378","77","11","78.0","1007.66","7.0","9.0","10.0","",""
"2025-05-12 23:52:00","0.378","77","11","77.0","1007.64","7.0","8.0","9.0","",""
"2025-05-12 23:51:00","0.371","77","11","77.0","1007.63","7.0","8.0","9.0","",""
"2025-05-12 23:50:00","0.365","78","11","77.0","1007.65","7.0","8.0","9.0","",""
"2025-05-12 23:49:00","0.363","78","11","76.0","1007.65","7.0","8.0","9.0","",""
"2025-05-12 23:48:00","0.361","78","11","74.0","1007.67","7.0","8.0","9.0","",""
"2025-05-12 23:47:00","0.361","78","12","73.0","1007.67","7.0","8.0","9.0","",""
"2025-05-12 23:46:00","0.361","78","12","73.0","1007.68","7.0","8.0","9.0","",""
"2025-05-12 23:45:00","0.361","78","12","73.0","1007.66","7.0","8.0","9.0","",""
"2025-05-12 23:44:00","0.362","78","12","73.0","1007.69","7.0","8.0","9.0","",""
"2025-05-12 23:43:00","0.364","78","12","73.0","1007.64","7.0","8.0","9.0","",""
"2025-05-12 23:42:00","0.367","77","12","74.0","1007.64","7.0","8.0","9.0","",""
"2025-05-12 23:41:00","0.37","77","12","74.0","1007.62","7.0","8.0","9.0","",""
"2025-05-12 23:40:00","0.375","77","12","74.0","1007.64","7.0","8.0","9.0","",""
"2025-05-12 23:39:00","0.381","77","12","74.0","1007.65","7.0","8.0","9.0","",""
"2025-05-12 23:38:00","0.387","76","11","74.0","1007.69","7.0","8.0","9.0","",""
"2025-05-12 23:37:00","0.393","76","11","78.0","1007.70","7.0","8.0","9.0","",""
"2025-05-12 23:36:00","0.399","76","11","77.0","1007.70","6.0","8.0","9.0","",""
"2025-05-12 23:35:00","0.404","75","11","77.0","1007.68","6.0","8.0","9.0","",""
"2025-05-12 23:34:00","0.409","75","11","77.0","1007.69","6.0","8.0","9.0","",""
"2025-05-12 23:33:00","0.414","75","11","77.0","1007.70","6.0","8.0","9.0","",""
"2025-05-12 23:32:00","0.417","74","11","77.0","1007.70","6.0","8.0","9.0","",""
"2025-05-12 23:31:00","0.42","74","11","77.0","1007.69","6.0","8.0","9.0","",""
"2025-05-12 23:30:00","0.423","74","11","75.0","1007.70","6.0","8.0","9.0","",""
"2025-05-12 23:29:00","0.421","74","12","73.0","1007.72","6.0","8.0","9.0","",""
"2025-05-12 23:28:00","0.412","75","12","73.0","1007.69","6.0","8.0","9.0","",""
"2025-05-12 23:27:00","0.404","75","12","73.0","1007.68","6.0","8.0","9.0","",""
"2025-05-12 23:26:00","0.397","76","12","73.0","1007.69","6.0","8.0","9.0","",""
"2025-05-12 23:25:00","0.395","76","12","74.0","1007.66","6.0","8.0","9.0","",""
"2025-05-12 23:24:00","0.397","76","12","74.0","1007.65","6.0","8.0","9.0","",""
"2025-05-12 23:23:00","0.4","76","12","74.0","1007.65","6.0","8.0","9.0","",""
"2025-05-12 23:22:00","0.403","75","12","75.0","1007.64","6.0","8.0","9.0","",""
"2025-05-12 23:21:00","0.407","75","11","78.0","1007.63","6.0","7.0","9.0","",""
"2025-05-12 23:20:00","0.41","75","11","78.0","1007.65","6.0","8.0","9.0","",""
"2025-05-12 23:19:00","0.406","75","11","78.0","1007.67","8.0","9.0","11.0","",""
"2025-05-12 23:18:00","0.396","76","11","77.0","1007.69","8.0","9.0","11.0","",""
"2025-05-12 23:17:00","0.381","77","11","74.0","1007.68","8.0","9.0","11.0","",""
"2025-05-12 23:16:00","0.367","77","12","73.0","1007.70","8.0","9.0","11.0","",""
"2025-05-12 23:15:00","0.354","78","12","73.0","1007.70","8.0","9.0","11.0","",""
"2025-05-12 23:14:00","0.343","79","12","73.0","1007.70","8.0","9.0","11.0","",""
"2025-05-12 23:13:00","0.338","79","12","73.0","1007.68","8.0","9.0","11.0","",""
"2025-05-12 23:12:00","0.332","80","12","73.0","1007.66","8.0","9.0","11.0","",""
"2025-05-12 23:11:00","0.322","80","12","74.0","1007.70","8.0","9.0","11.0","",""
"2025-05-12 23:10:00","0.312","81","12","74.0","1007.68","8.0","9.0","11.0","",""
"2025-05-12 23:09:00","0.305","81","12","74.0","1007.68","8.0","9.0","11.0","",""
"2025-05-12 23:08:00","0.301","81","12","74.0","1007.72","8.0","9.0","11.0","",""
"2025-05-12 23:07:00","0.299","82","12","74.0","1007.69","8.0","9.0","11.0","",""
"2025-05-12 23:06:00","0.298","82","12","75.0","1007.68","8.0","9.0","11.0","",""
"2025-05-12 23:05:00","0.297","82","11","78.0","1007.70","8.0","9.0","11.0","",""
"2025-05-12 23:04:00","0.295","82","11","78.0","1007.71","7.0","9.0","10.0","",""
"2025-05-12 23:03:00","0.291","82","11","77.0","1007.75","7.0","9.0","10.0","",""
"2025-05-12 23:02:00","0.286","82","11","77.0","1007.74","7.0","9.0","10.0","",""
"2025-05-12 23:01:00","0.282","83","11","74.0","1007.73","7.0","9.0","10.0","",""
